科號,中文課名,英文課名,學分,上課時間,教室,教師,人限,總人數,備註欄,此課程已列入之系所班別,遠距課,授課語言,通識對象,通識分類,code,系所全名,院全名,課程字頭,課程屬性,學年期,第一二專長對應,學分學程對應,科目名稱 Course Name,授課教師 Teacher,修課人數 Enrollment,等級制,等級制.1,百分制,百分制.1
11110PME235001,材料力學,MechanicsofMaterials,3,T7T8T9,工一107,蔡宏營,60,76,,動機系110BA必修,,中,,,PME,動力機械工程學系,工學院,2,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",(跨領域)奈微米機電元件與系統全英語學分學程,材料力學 Mechanics of Materials,"蔡宏營 TSAI, HUNG-YIN",75,2.87,0.28,74.31,14.47
11110PME235002,材料力學,MechanicsofMaterials,3,M7M8M9,工一101,黃琮暉,60,67,,動機系110BB必修,,英,,,PME,動力機械工程學系,工學院,2,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",(跨領域)奈微米機電元件與系統全英語學分學程,材料力學 Mechanics of Materials,"黃琮暉 HUANG, TSUNG-HUI",67,2.81,0.24,73.52,12.07
11110PME243101,機械製造,ManufacturingProcesses,3,T1T2F2,工一214,曹哲之,60,74,,動機系110BA必修,,英,,,PME,動力機械工程學系,工學院,2,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",,機械製造 Manufacturing Processes,"曹哲之 TSAO, CHE-CHIH",73,2.93,0.91,,
11110PME243102,機械製造,ManufacturingProcesses,3,T1T2F2,工一107,石昭明,60,65,,動機系110BB必修,,英,,,PME,動力機械工程學系,工學院,2,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",,機械製造 Manufacturing Processes,"石昭明 SHIH, ALBERT JAU-MIN",64,2.91,0.75,,
11110PME300500,系統動態分析,SystemDynamicsAnalysis,3,R7R8R9,工一217,林明璋,,36,動機系大學部電控學程選修,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,,(跨領域)奈米與光電半導體產業學分學程,系統動態分析 System Dynamics Analysis,"林明璋 LIN, MING-CHANG",36,2.94,0.18,75.31,9.08
11110PME300700,線性代數,LinearAlgebra,3,R5R6R7,工一213,許文震,40,36,,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,工業工程與工程管理(第二專長),(跨領域)音樂科技與健康學分學程,線性代數 Linear Algebra,"許文震 SHEU, WEN-JENN",36,3.21,0.18,78.11,9.14
11110PME311300,進階流體力學,AdvancedFluidDynamics,3,F1F2F3,工一213,李國賓,,14,動機系大學部能源學程必選,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,,(跨領域)微系統科技整合學分學程,進階流體力學 Advanced Fluid Dynamics,"李國賓 LEE, GWO-BIN",14,2.94,0.2,75.21,10.23
11110PME312100,能源工程,EnergyEngineering,3,F5F6F7,工一213,李明蒼,,17,動機系大學部能源學程必選,"動機系109BA選修,動機系109BB選修",,英,,,PME,動力機械工程學系,工學院,3,大學部,11110,,(跨領域)先進能源研究生學分學程,能源工程 Energy Engineering,"李明蒼 LEE, MING-TSANG",17,3.27,0.08,78.76,4.37
11110PME320200,電子學二,ElectronicsII,3,M3M4W2,工一431,李昇憲,90,80,動機系大學部電控學程必選,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,核工與能源(第二專長),,電子學二 Electronics II,"李昇憲 LI, SHENG-SHIAN",80,2.78,0.28,73.11,14.48
11110PME320701,控制系統一,ControlSystemI,3,T3T4R4,工一216,馮國華,60,31,動機系大學部電控學程必選、精密機械與智慧製造學程選修,"動機系109BA選修,動機系109BB選修",,英,,,PME,動力機械工程學系,工學院,3,大學部,11110,核工與能源(第二專長),(跨領域)奈米與光電半導體產業學分學程/(台聯大)太空科技與工程學分學程,控制系統一 Control System I,"馮國華 FENG, GUO-HUA",30,2.92,0.29,74.93,14.89
11110PME320702,控制系統一,ControlSystemI,3,T3T4R3R4,工一101,陳榮順,60,67,本課程平均上課150分鐘.動機系大學部電控學程必選、精密機械與智慧製造學程選修,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,核工與能源(第二專長),(跨領域)奈米與光電半導體產業學分學程/(台聯大)太空科技與工程學分學程,控制系統一 Control System I,"陳榮順 CHEN, RONG-SHUN",67,2.73,0.3,72.52,15.08
11110PME321200,電磁學,Electromagnetism,3,W5W6W7,工一214,葉哲良,50,48,動機系物理五選二、大學部電控學程選修，本課程為16週課程。,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,,(跨領域)光電學分學程,電磁學 Electromagnetism,"葉哲良 YEH, JER-LIANG",47,3.18,0.28,77.87,14.36
11110PME331000,高等材料力學,AdvancedStrengthofMaterials,3,T3T4R4,工一213,王偉中,,14,動機系大學部奈微米學程選修,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,,,高等材料力學 Advanced Strength of Materials,"王偉中 WANG, WEI-CHUNG",14,3.3,0.33,79.07,16.79
11110PME334700,有限單元法導論,IntroductiontoFiniteElementMethods,3,TaTbTc,工一434,李銘孝,,36,動機系大學部奈微米學程、精密機械與智慧製造學程選修,"動機系109BA選修,動機系109BB選修",,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,,,有限單元法導論 Introduction to Finite Element Methods,"李銘孝 LEE, MING-HSIAO",36,3.17,0.25,77.75,12.82
11110PME343301,機械設計,MachineDesign,3,W3W4F4,工一215,覺元彙,65,59,,動機系109BA必修,,英,,,PME,動力機械工程學系,工學院,3,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",,機械設計 Machine Design,"覺元彙 CHUEH, YUAN-HUI",57,3.06,0.89,,
11110PME343302,機械設計,MachineDesign,3,W3W4F4,工一431,馮國華,65,67,,動機系109BB必修,,中,,,PME,動力機械工程學系,工學院,3,大學部,11110,"動力機械工程(第二專長),動力機械工程(第一專長)",,機械設計 Machine Design,"馮國華 FENG, GUO-HUA",67,2.89,0.25,74.55,12.93
11110PME343700,創新工程設計,InnovationsinEngineeringDesign,3,M7M8R6,工一210,王威智,25,9,動機系大學部精密機械與智慧製造學程選修,"動機系109BA選修,動機系109BB選修",,英,,,PME,動力機械工程學系,工學院,3,大學部,11110,,,創新工程設計 Innovations in Engineering Design,"王威智 WANG, WEI-CHIH",9,3.46,0.08,81,4.37
11110PME400200,專題研究二,UndergraduateResearch(II),2,,,指導教授,,105,限動機系修畢專題研究一者選課。非動機系學生以加簽方式選課。,"動機系108BA必修,動機系108BB必修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,,,專題研究二 Research on special topics(Ⅱ),指導教授,104,3.97,0.8,,
11110PME400300,專題研究一,Researchonspecialtopics,1,,,指導教授,0,2,限人工加簽,"動機系108BA必修,動機系108BB必修,動機系109BA必修,動機系109BB必修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,動力機械工程(第一專長),,專題研究一 Research on special topics,指導教授,2,4.3,0,,
11110PME400400,賽車實務專題,FormulaStudentRacingCarDesignandManufactureProject,2,WaWbWc,工一201,"林昭安,王培仁",0,11,以加簽方式選課,"動機系108BA選修,動機系108BB選修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,,,賽車實務專題 Formula Student Racing Car Design and Manufacture Project,"林昭安 LIN, CHAO-AN 王培仁 WANG, PEI-JEN",11,3.85,0.03,86.55,1.72
11110PME400500,數值分析,NumericalAnalysis,3,T2T3T4,工一209,陳玉彬,,5,動機系能源學程選修,"動機系108BA選修,動機系108BB選修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,,(跨領域)神經科學學分學程,數值分析 Numerical Analysis,"陳玉彬 CHEN,YUBIN",5,3.68,0.54,,
11110PME401301,熱流與動力系統實驗,Thermo-fluidandPowerSystemLab,1,M5M6M7M8,工一319,黃智永,35,39,,"動機系108BA必修,動機系108BB必修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,動力機械工程(第一專長),,熱流與動力系統實驗 Thermo-fluid and Power System Lab,"黃智永 HUANG, CHIH-YUNG",39,3.26,0.09,78.64,4.65
11110PME401302,熱流與動力系統實驗,Thermo-fluidandPowerSystemLab,1,T5T6T7T8,工一319,黃智永,35,25,,"動機系108BA必修,動機系108BB必修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,動力機械工程(第一專長),,熱流與動力系統實驗 Thermo-fluid and Power System Lab,"黃智永 HUANG, CHIH-YUNG",24,3.39,0.06,80.17,3.29
11110PME401303,熱流與動力系統實驗,Thermo-fluidandPowerSystemLab,1,W5W6W7W8,工一319,黃智永,35,44,,"動機系108BA必修,動機系108BB必修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,動力機械工程(第一專長),,熱流與動力系統實驗 Thermo-fluid and Power System Lab,"黃智永 HUANG, CHIH-YUNG",44,3.34,0.09,79.59,4.93
11110PME402100,近代物理導論,IntroductiontoModernPhysics,3,R6R7R8,工一201,賴梅鳳,,39,"動機系物理五選二、大學部奈微米學程及能源學程選修,面授+同步遠距教學","動機系108BA選修,動機系108BB選修",遠距課,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,動力機械工程(第一專長),,近代物理導論 Introduction to Modern Physics,"賴梅鳳 LAI, MEI-FENG",39,2.54,0.22,70.87,11.27
11110PME414700,飛行力學,FlightMechanics,3,W2W3W4,工一209,賴君亮,,7,動機系能源學程選修,"動機系108BA選修,動機系108BB選修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,,,飛行力學 Flight Mechanics,"賴君亮 LAI, CHUN-LIANG",7,3.6,0.48,,
11110PME435200,微機電系統導論,IntroductiontoMicroelectromechanicalSystems,3,F5F6F7,工一431,方維倫,,74,動機系大學部奈微米學程必選、精密機械與智慧製造學程選修,"動機系108BA選修,動機系108BB選修",,中,,,PME,動力機械工程學系,工學院,4,大學部,11110,,(跨領域)微系統科技整合學分學程,微機電系統導論 Introduction to Microelectromechanical Systems,"方維倫 FANG, WEI-LEUN",72,2.98,0.28,75.79,14.22
11110PME443200,電腦輔助設計與製造,ComputerAidedDesignandManufacturing,3,FaFbFc,工一434,劉俊葳,24,17,"動機系大學部精密機械與智慧製造學程必選,講解教室在工一431","動機系108BA選修,動機系108BB選修",,英,,,PME,動力機械工程學系,工學院,4,大學部,11110,,(台聯大)太空科技與工程學分學程,電腦輔助設計與製造 Computer Aided Design and Manufacturing,"劉俊葳 LIU, CHUN-WEI",17,3.29,0.11,78.94,5.67
11110PME500000,書報討論,Seminar,1,R7R8,工一107,楊佩良,,157,,"動機系111D必修,動機系111M必修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,書報討論 Seminar,"楊佩良 YANG, PATRICIA JIANN",156,4.14,0.15,94.32,7.75
11110PME511100,層流理論,LaminarFlowTheory,3,W2W3W4,工一217,林昭安,,32,動機系碩士班熱流組必選、博士班資格考科目,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,層流理論 Laminar Flow Theory,"林昭安 LIN, CHAO-AN",32,3.4,0.29,80.25,14.99
11110PME511300,計算流體力學,ComputationalFluidDynamics,3,T2T3T4,工一217,林昭安,,29,動機系碩士班熱流組必選。原課名：數值流體力學。,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,計算流體力學 Computational Fluid Dynamics,"林昭安 LIN, CHAO-AN",29,3.49,0.24,81.41,12.05
11110PME512100,熱傳導,HeatConduction,3,M2M3M4,工一213,陳理定,80,78,,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,熱傳導 Heat Conduction,"陳理定 CHEN, LI-TING",78,3.6,0.03,82.86,1.83
11110PME513100,燃燒學概論,IntroductiontoCombustion,3,R4R5R6,工一209,劉通敏,,13,動機系碩士班必選、博士班資格考科目。原課名：燃燒學一。,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,燃燒學概論 Introduction to Combustion,"劉通敏 LIOU, TONG-MIIN",13,3.16,0.18,77.62,9.47
11110PME514100,實驗熱流學,ExperimentalmethodsinThermo-FluidScience,3,F5F6F7,工一209,黃智永,,9,動機系大學部能源學程選修。,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,實驗熱流學 Experimental methods in Thermo-Fluid Science,"黃智永 HUANG, CHIH-YUNG",9,3.01,0.97,,
11110PME514200,噴射推進,JetPropulsion,3,R2R3F2,工一216,蔣小偉,,31,,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)先進能源研究生學分學程,噴射推進 Jet Propulsion,"蔣小偉 CHIANG, HSIAO-WEI",31,3.37,0.21,79.94,10.65
11110PME520100,線性系統理論,LinearSystemTheory,3,W3R3R4,工一201,白明憲,50,44,動機系碩士班電控組必選、博士班資格考科目,"電機系111D選修,電機系111M選修,動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)奈微米機電元件與系統全英語學分學程,線性系統理論 Linear System Theory,"白明憲 BAI, MING-SIAN",44,3.6,0.95,,
11110PME520300,數位控制系統,DigitalControlSystem,3,W6W7F3,工一215,葉廷仁,,34,動機系碩士班電控組必選、博士班資格考科目,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(台聯大)太空科技與工程學分學程,數位控制系統 Digital Control System,"葉廷仁 YEH, TING-JEN",34,2.97,0.29,75.65,14.7
11110PME520700,聲學理論與應用,Acoustics:theoryandapplication,3,T3T4W4,工一201,白明憲,,40,動機系碩士班電控組必選,"電機系111D選修,電機系111M選修,動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)音樂科技與健康學分學程,聲學理論與應用 Acoustics : theory and application,"白明憲 BAI, MING-SIAN",40,3.68,0.22,83.78,11.34
11110PME534200,高等振動學,AdvancedMechanicalVibrations,3,F1F2F3,工一217,張禎元,,19,動機系碩士班固力組必選科目、博士班資格考科目(110學年度入學適用),"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)奈微米機電元件與系統全英語學分學程,高等振動學 Advanced Mechanical Vibrations,"張禎元 CHANG, JEN-YUAN",19,3.77,0.45,,
11110PME534300,有限單元法,FiniteElementMethods,3,M2M3M4,工一101,李昌駿,75,68,動機系碩士班固力組必選、博士班資格考科目,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,有限單元法 Finite Element Methods,"李昌駿 LEE, CHANG-CHUN",67,3.62,0.22,83.06,11.14
11110PME534500,彈性力學,Elasticity,3,T2R2R3,工一213,王偉中,,25,動機系碩士班固力組必選、博士班資格考科目,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)奈微米機電元件與系統全英語學分學程,彈性力學 Elasticity,"王偉中 WANG, WEI-CHUNG",25,3.34,0.2,79.6,10.43
11110PME534700,彈性穩定學,StabilityofStructures,3,M6M7M8,工一213,葉孟考,,9,,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,彈性穩定學 Stability of Structures,"葉孟考 YEH, MENG-KAO",9,3.39,0.13,80.22,6.51
11110PME536000,奈米結構力學,Atomistic-ContinuumMechanics,3,T6T7T8,工一216,江國寧,,10,建議修過應用力學一與材料力學。,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)奈米科技學分學程,奈米結構力學 Atomistic-Continuum Mechanics,"江國寧 CHIANG, KUO-NING",10,3.82,0.08,86,4.27
11110PME537100,彈性波元件與應用,ElasticWaveDevicesandApplications,3,W2W3W4,工一211,李銘晃,,6,,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,彈性波元件與應用 Elastic Wave Devices and Applications,"李銘晃 LI, MING-HUANG",6,3.67,0.19,83.67,9.57
11110PME543500,精密機械設計一,PrecisionMachineDesignI,3,M6M7M8,工一214,宋震國,45,29,動機系碩士班機設組必選、博士班資格考科目,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,,精密機械設計一 Precision Machine Design I,"宋震國 SUNG, CHENG-KUO",29,3.62,0.13,83.1,6.66
11110PME543900,人工智慧,IntroductiontoArtificialIntelligence,3,T6T7T8,工一108,丁川康,0,60,大學部精密智慧學程，碩士班人工智慧組必選。以加簽方式選課,"動機系108BA選修,動機系108BB選修,動機系109BA選修,動機系109BB選修,動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,5,研究所,11110,,(跨領域)數據科學學分學程/(跨領域)人工智慧與應用進階學分學程/(跨領域)人工智慧與應用基礎學分學程/(跨領域)神經科學學分學程,人工智慧 Introduction to Artificial Intelligence,"丁川康 TING, CHUAN-KANG",59,3.59,0.14,82.63,7.1
11110PME600000,論文研究,Thesis,0,,,指導教授,,195,限動機系碩二以上同學，Selectableaftersuccessfullycompletingfirstyear'scoursework,"資通訊控制與熱流產碩專班111M必修,動機系111M必修",,中,,,PME,動力機械工程學系,工學院,6,研究所,11110,,,,,,,,,
11110PME625000,非線性控制系統,NonlinearControlsystems,3,T6T7T8,工一214,王培仁,35,14,動機系碩士班電控組必選,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,6,研究所,11110,,,非線性控制系統 Nonlinear Control systems,"王培仁 WANG, PEI-JEN",14,3.93,0.03,87.93,1.83
11110PME634500,破裂力學,FractureMechanics,3,W6W7W8,工一209,黃琮暉,,15,,"動機系111D選修,動機系111M選修",,英,,,PME,動力機械工程學系,工學院,6,研究所,11110,,,破裂力學 Fracture Mechanics,"黃琮暉 HUANG, TSUNG-HUI",15,3.74,0.13,84.8,6.87
11110PME660000,熱流專題,SpecialTopicsinHeatTransferandFluidMechanics,3,M5M6M7,工一209,許文震,,11,,"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,6,研究所,11110,,,熱流專題 Special Topics in Heat Transfer and Fluid Mechanics,"許文震 SHEU, WEN-JENN",11,3.44,0.05,80.82,2.66
11110PME665000,熱輻射,RadiativeHeatTransfer,3,F3F4Fn,工一209,陳玉彬,,10,動機系碩士班熱流組必選(110學年度入學適用),"動機系111D選修,動機系111M選修",,中,,,PME,動力機械工程學系,工學院,6,研究所,11110,,,熱輻射 Radiative Heat Transfer,"陳玉彬 CHEN,YUBIN",10,3.6,0.12,82.8,6.21
11110PME800000,論文研究,Thesis,0,,,指導教授,,65,限動機系博二以上同學，Selectableaftersuccessfullycompletingfirstyear'scoursework,動機系111D必修,,中,,,PME,動力機械工程學系,工學院,8,研究所,11110,,,,,,,,,
11110PMED700100,精準醫學概論,IntroductiontoPrecisionMedicine,3,W6W7W8,綜二110,"周裕珽,黃玠誠",30,18,,"生技所111D選修,生技所111M選修,精準醫療博士學程111D必修",,中,,,PMED,精準醫療博士學位學程,教務處,7,研究所,11110,,,精準醫學概論 Introduction to Precision Medicine,"周裕珽 CHOU, YU-TING 黃玠誠 HUANG, CHIEH-CHENG",17,3.82,0.29,86.06,14.63
11110PMED800000,論文研究,Thesis,0,,,指導教授,,2,,精準醫療博士學程111D必修,,中,,,PMED,精準醫療博士學位學程,教務處,8,研究所,11110,,,,,,,,,
11110QF100201,資訊工程導論,IntroductiontoInformationEngineering,3,R7R8R9,台積204,陳政琦,60,62,,計財系111B必修,,中,,,QF,計量財務金融學系,科技管理學院,1,大學部,11110,,(跨領域)生物資訊學分學程,資訊工程導論 Introduction to Information Engineering,"陳政琦 CHEN, CHENG-CHI",61,3.46,0.22,81.1,11.18
11110QF100401,會計學一,Accounting(I),3,F6F7F8,台積104,潘虹華,90,110,本課程為16週課程,"經濟系111BA必修,經濟系111BB必修,計財系111B必修,科管院學士班111B必修",,中,,,QF,計量財務金融學系,科技管理學院,1,大學部,11110,經濟(第一專長),(跨領域)生物科技管理學分學程/(跨領域)創新創業學分學程,會計學一 Accounting (I),"潘虹華 PAN, HUNG-HUA",109,3.76,0.2,85.14,10.38
11110QF100402,會計學一,Accounting(I),3,F5F6F7,台積203,黃海寧,60,62,,計財系111B必修,,中,,,QF,計量財務金融學系,科技管理學院,1,大學部,11110,經濟(第一專長),(跨領域)生物科技管理學分學程/(跨領域)創新創業學分學程,會計學一 Accounting (I),"黃海寧 HUANG, HAI-NING",62,3.37,0.18,79.92,9.22
11110QF100403,會計學一,Accounting(I),3,F6F7F8,台積223,張俊賢,50,59,本課程為16週課程,"經濟系111BA必修,經濟系111BB必修,計財系111B必修,科管院學士班111B必修",,中,,,QF,計量財務金融學系,科技管理學院,1,大學部,11110,經濟(第一專長),(跨領域)生物科技管理學分學程/(跨領域)創新創業學分學程,會計學一 Accounting (I),"張俊賢 CHANG, CHUN-HSIEN",59,3.72,0.31,84.49,15.71
11110QF214101,財務管理,FinancialManagement,3,T7T8T9,台積204,邱婉茜,50,59,本課程為16週課程,"經濟系110BA必修,經濟系110BB必修,計財系110B必修,科管院學士班110B必修,科管院學士班110BA必修",,英,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長)",(跨領域)創新創業學分學程/(跨領域)金融數學學分學程,財務管理 Financial Management,"邱婉茜 CHIU, WAN-CHIEN",58,3.3,0.3,79.03,15.11
11110QF214102,財務管理,FinancialManagement,3,W6W7W8,台積309,曾祺峰,90,92,,"經濟系110BA必修,經濟系110BB必修,計財系110B必修,科管院學士班110B必修",,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長)",(跨領域)創新創業學分學程/(跨領域)金融數學學分學程,財務管理 Financial Management,"曾祺峰 TZENG, CHI-FENG",89,3.42,0.28,80.52,14.05
11110QF214104,財務管理,FinancialManagement,3,W6W7W8,台積206,余士迪,50,58,,"經濟系110BA必修,經濟系110BB必修,計財系110B必修,科管院學士班110B必修",,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長)",(跨領域)創新創業學分學程/(跨領域)金融數學學分學程,財務管理 Financial Management,"余士迪 YU, SHIH-TI",58,3.5,0.96,,
11110QF214105,財務管理,FinancialManagement,3,M5M6M7,台積309,蔡子晧,80,84,本課程為16週課程,"經濟系110BA必修,經濟系110BB必修,計財系110B必修,科管院學士班110B必修",,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長)",(跨領域)創新創業學分學程/(跨領域)金融數學學分學程,財務管理 Financial Management,"蔡子 TSAI, TZU-HAO",83,2.94,0.3,75.23,15.04
11110QF214106,財務管理,FinancialManagement,3,W6W7W8,台積104,謝佩芳,60,57,,"經濟系110BA必修,經濟系110BB必修,計財系110B必修,科管院學士班110B必修",,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長)",(跨領域)創新創業學分學程/(跨領域)金融數學學分學程,財務管理 Financial Management,"謝佩芳 HSIEH, PEI-FANG",57,3.79,0.36,85.6,18.4
11110QF214401,統計學一,Statistics(I),3,M3M4W2,台積104,余士迪,90,106,,計財系110B必修,,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,"經濟(第一專長),計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)數據科學學分學程/(跨領域)音樂科技與健康學分學程,統計學一 Statistics (I),"余士迪 YU, SHIH-TI",105,3.63,0.94,,
11110QF214800,線性代數,LinearAlgebra,3,T5T6R5,台積104,韓傳祥,80,75,,計財系110B必修,,中,,,QF,計量財務金融學系,科技管理學院,2,大學部,11110,,(跨領域)音樂科技與健康學分學程,線性代數 Linear Algebra,"韓傳祥 HAN, CHUAN-HSIANG",74,2.82,0.39,73.64,19.73
11110QF314800,數理統計一,MathematicalStatisticsI,3,T7T8T9,台積104,謝宗翰,90,92,,"計財系109B必修,科管院學士班109B選修",,英,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,數理統計一 Mathematical Statistics I,"謝宗翰 HSIEH, CHUNG-HAN",92,2.68,1.08,,
11110QF314802,數理統計一,MathematicalStatisticsI,3,W6W7W8,台積204,劉鋼,50,18,,計財系109B必修,,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)人工智慧與應用基礎學分學程/(跨領域)音樂科技與健康學分學程/(跨領域)神經科學學分學程,數理統計一 Mathematical Statistics I,劉鋼 LIU KANG,18,2.34,0.32,69.33,16.12
11110QF320101,衍生性金融市場,DerivativesMarket,3,W7W8W9,台積223,鍾經樊,60,26,,"計財系109B必修,科管院學士班109B必修",,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)金融數學學分學程,衍生性金融市場 Derivatives Market,"鍾經樊 CHUNG, CHING-FAN",26,3.2,0.9,,
11110QF320102,衍生性金融市場,DerivativesMarket,3,M6M7M8,台積104,索樂晴,100,108,,"計財系109B必修,科管院學士班109B必修",,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)金融數學學分學程,衍生性金融市場 Derivatives Market,"索樂晴 SO, LEH-CHYAN",108,3.54,0.22,82.04,11.04
11110QF320103,衍生性金融市場,DerivativesMarket,3,M1M2M3,台積223,邱婉茜,50,52,本課程為16週課程,"計財系109B必修,科管院學士班108BA選修,科管院學士班109B必修,科管院學士班109BA選修,科管院學士班110BA選修",,英,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",(跨領域)金融數學學分學程,衍生性金融市場 Derivatives Market,"邱婉茜 CHIU, WAN-CHIEN",52,3.21,0.25,78.19,12.85
11110QF320400,高等微積分二,AdvancedCalculusII,3,R1R2R3,綜三203,陳國璋,79,42,,"計財系109B必修,科管院學士班109B選修",,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,"計量財務金融(第二專長),計量財務金融(第一專長)",,高等微積分二 Advanced Calculus II,"陳國璋 CHEN, KUO-CHANG",42,2.72,1.22,,
11110QF321400,金融科技專題研習,FinTechProjectsWorkshop,3,W2W3W4,台積204,翁禮祺,50,41,,計財系109B選修,,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,,,金融科技專題研習 FinTech Projects Workshop,"翁禮祺 WENG, LI-CHI",40,4.1,0.05,93,2.53
11110QF321600,企業併購概論,EssentialsofMergers&Acquisitions,3,W3W4Wn,台積206,許智強,40,15,先修會計學,計財系109B選修,,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,,,企業併購概論 Essentials of Mergers & Acquisitions,"許智強 HSU, CHI-TZIANG",15,3.68,0.08,83.87,4.22
11110QF321800,財務計量經濟學,FinancialEconometrics,3,R7R8R9,台積104,黃裕烈,80,82,本課程為16週課程,計財系109B必修,,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,,,財務計量經濟學 Financial Econometrics,"黃裕烈 HUANG, YU-LIEH",82,3.91,0.19,87.54,9.94
11110QF322100,不動產財務管理,RealEstateFinance,2,R5R6R7,台積421,林哲群,50,39,面授+非同步遠距教學,計財系109B選修,遠距課,中,,,QF,計量財務金融學系,科技管理學院,3,大學部,11110,,,不動產財務管理 Real Estate Finance,"林哲群 LIN, CHE-CHUN",39,4.01,0.47,,
